timestamp,datetime_utc,cpu_cores
1764246137,2025-11-27T12:22:17,0.00006506293067734588
1764246152,2025-11-27T12:22:32,0.00004855053308661559
1764246167,2025-11-27T12:22:47,0.000031313934985223924
1764246182,2025-11-27T12:23:02,0
1764246197,2025-11-27T12:23:17,0
1764246212,2025-11-27T12:23:32,0
1764246227,2025-11-27T12:23:47,0
1764246242,2025-11-27T12:24:02,0
1764246257,2025-11-27T12:24:17,0
1764246272,2025-11-27T12:24:32,0
1764246287,2025-11-27T12:24:47,0
1764246302,2025-11-27T12:25:02,0
1764246317,2025-11-27T12:25:17,0
1764246332,2025-11-27T12:25:32,0
1764246347,2025-11-27T12:25:47,0
1764246362,2025-11-27T12:26:02,0
1764246377,2025-11-27T12:26:17,0
1764246392,2025-11-27T12:26:32,0
1764246407,2025-11-27T12:26:47,0
1764246422,2025-11-27T12:27:02,0
1764246437,2025-11-27T12:27:17,0
1764246452,2025-11-27T12:27:32,0
1764246467,2025-11-27T12:27:47,0
1764246482,2025-11-27T12:28:02,0
1764246497,2025-11-27T12:28:17,0
1764246512,2025-11-27T12:28:32,0
1764246527,2025-11-27T12:28:47,0
1764246542,2025-11-27T12:29:02,0
1764246557,2025-11-27T12:29:17,0
1764246572,2025-11-27T12:29:32,0
1764246587,2025-11-27T12:29:47,0
1764246602,2025-11-27T12:30:02,0
1764246617,2025-11-27T12:30:17,0
1764246632,2025-11-27T12:30:32,0
1764246647,2025-11-27T12:30:47,0
1764246662,2025-11-27T12:31:02,0
1764246677,2025-11-27T12:31:17,0
1764246692,2025-11-27T12:31:32,0
1764246707,2025-11-27T12:31:47,0
1764246722,2025-11-27T12:32:02,0
1764246737,2025-11-27T12:32:17,0
1764246752,2025-11-27T12:32:32,0
1764246767,2025-11-27T12:32:47,0
1764246782,2025-11-27T12:33:02,0
1764246797,2025-11-27T12:33:17,0
1764246812,2025-11-27T12:33:32,0
1764246827,2025-11-27T12:33:47,0
1764246842,2025-11-27T12:34:02,0
1764246857,2025-11-27T12:34:17,0
1764246872,2025-11-27T12:34:32,0
1764246887,2025-11-27T12:34:47,0
1764246902,2025-11-27T12:35:02,0.03887774278082385
1764246917,2025-11-27T12:35:17,0.07468123464654085
1764246932,2025-11-27T12:35:32,0.0805135124386049
1764246947,2025-11-27T12:35:47,0.10332571122509941
1764246962,2025-11-27T12:36:02,0.09313496264111436
1764246977,2025-11-27T12:36:17,0.11147129601585944
1764246992,2025-11-27T12:36:32,0.11077218318391081
1764247007,2025-11-27T12:36:47,0.11221937485181377
1764247022,2025-11-27T12:37:02,0.112113762777323
1764247037,2025-11-27T12:37:17,0.11089219895163777
1764247052,2025-11-27T12:37:32,0.07207966925817103
1764247067,2025-11-27T12:37:47,0.03381601029846477
1764247082,2025-11-27T12:38:02,0.005862160571968531
1764247097,2025-11-27T12:38:17,0.0000011624425383578486
1764247112,2025-11-27T12:38:32,0.0000016070124178315937
1764247127,2025-11-27T12:38:47,0.00005898157323747529
1764247142,2025-11-27T12:39:02,0.00003751430239346175
1764247157,2025-11-27T12:39:17,0.00005927522565000672
1764247172,2025-11-27T12:39:32,0
1764247187,2025-11-27T12:39:47,0
1764247202,2025-11-27T12:40:02,0
1764247217,2025-11-27T12:40:17,0
1764247232,2025-11-27T12:40:32,0
1764247247,2025-11-27T12:40:47,0
1764247262,2025-11-27T12:41:02,0
1764247277,2025-11-27T12:41:17,0
1764247292,2025-11-27T12:41:32,0
1764247307,2025-11-27T12:41:47,0
1764247322,2025-11-27T12:42:02,0
1764247337,2025-11-27T12:42:17,0
1764247352,2025-11-27T12:42:32,0
1764247367,2025-11-27T12:42:47,0
1764247382,2025-11-27T12:43:02,0
1764247397,2025-11-27T12:43:17,0
1764247412,2025-11-27T12:43:32,0
1764247427,2025-11-27T12:43:47,0
1764247442,2025-11-27T12:44:02,0
1764247457,2025-11-27T12:44:17,0
1764247472,2025-11-27T12:44:32,0
1764247487,2025-11-27T12:44:47,0
1764247502,2025-11-27T12:45:02,0
1764247517,2025-11-27T12:45:17,0
1764247532,2025-11-27T12:45:32,0
1764247547,2025-11-27T12:45:47,0
1764247562,2025-11-27T12:46:02,0
1764247577,2025-11-27T12:46:17,0
1764247592,2025-11-27T12:46:32,0
1764247607,2025-11-27T12:46:47,0
1764247622,2025-11-27T12:47:02,0
1764247637,2025-11-27T12:47:17,0.00023932559667177577
1764247652,2025-11-27T12:47:32,0.0002362217582310894
1764247667,2025-11-27T12:47:47,0.00018632402139402075
1764247682,2025-11-27T12:48:02,0
1764247697,2025-11-27T12:48:17,0
1764247712,2025-11-27T12:48:32,0.01934361223631509
1764247727,2025-11-27T12:48:47,0.02324279783968345
1764247742,2025-11-27T12:49:02,0.02955686140046631
1764247757,2025-11-27T12:49:17,0.0075883271723850634
1764247772,2025-11-27T12:49:32,0.03588304339693229
1764247787,2025-11-27T12:49:47,0.06483862781447419
1764247802,2025-11-27T12:50:02,0.09073796136996506
1764247817,2025-11-27T12:50:17,0.09695718731905036
1764247832,2025-11-27T12:50:32,0.09649080259691381
1764247847,2025-11-27T12:50:47,0.05604265993765771
1764247862,2025-11-27T12:51:02,0.008730275289778735
1764247877,2025-11-27T12:51:17,0
1764247892,2025-11-27T12:51:32,0
1764247907,2025-11-27T12:51:47,0.0000012194899983545105
1764247922,2025-11-27T12:52:02,0.0000012885110965728522
1764247937,2025-11-27T12:52:17,0.0000017144758054094312
1764247952,2025-11-27T12:52:32,0.05746699710863282
1764247967,2025-11-27T12:52:47,0.09072193730883334
1764247982,2025-11-27T12:53:02,0.07960601103580249
1764247997,2025-11-27T12:53:17,0.10193615119397266
1764248012,2025-11-27T12:53:32,0.10619950086191371
1764248027,2025-11-27T12:53:47,0.08687985668618996
1764248042,2025-11-27T12:54:02,0.05374116997792492
1764248057,2025-11-27T12:54:17,0.01754734106728539
1764248072,2025-11-27T12:54:32,0.0000012805190370770287
1764248087,2025-11-27T12:54:47,0.0000011728370929528374
1764248102,2025-11-27T12:55:02,0
1764248117,2025-11-27T12:55:17,0
1764248132,2025-11-27T12:55:32,0.00004905498994023313
1764248147,2025-11-27T12:55:47,0.000043677105322743564
1764248162,2025-11-27T12:56:02,0.00005126393606089105
1764248177,2025-11-27T12:56:17,0
1764248192,2025-11-27T12:56:32,0
1764248207,2025-11-27T12:56:47,0
1764248222,2025-11-27T12:57:02,0
1764248237,2025-11-27T12:57:17,0
1764248252,2025-11-27T12:57:32,0.00020264516282499583
1764248267,2025-11-27T12:57:47,0.022346416017311393
1764248282,2025-11-27T12:58:02,0.02363234754507053
1764248297,2025-11-27T12:58:17,0.0213804525604135
1764248312,2025-11-27T12:58:32,0.0000016543066800012312
1764248327,2025-11-27T12:58:47,0
1764248342,2025-11-27T12:59:02,0
1764248357,2025-11-27T12:59:17,0.0000037600256850159504
1764248372,2025-11-27T12:59:32,0.0000034150818552418936
1764248387,2025-11-27T12:59:47,0.04229987155419424
1764248402,2025-11-27T13:00:02,0.06693979684882415
1764248417,2025-11-27T13:00:17,0.07025651642823129
1764248432,2025-11-27T13:00:32,0.028814675987674187
1764248447,2025-11-27T13:00:47,0.006524921742981727
1764248462,2025-11-27T13:01:02,0
1764248477,2025-11-27T13:01:17,0
1764248492,2025-11-27T13:01:32,0
1764248507,2025-11-27T13:01:47,0
1764248522,2025-11-27T13:02:02,0.018071664218460293
1764248537,2025-11-27T13:02:17,0.024291560550655594
1764248552,2025-11-27T13:02:32,0.02387536480336334
1764248567,2025-11-27T13:02:47,0.007676245035415553
1764248582,2025-11-27T13:03:02,0.006412848280365697
1764248597,2025-11-27T13:03:17,0.06906556338585797
1764248612,2025-11-27T13:03:32,0.08057241090146751
1764248627,2025-11-27T13:03:47,0.038227937966685825
1764248642,2025-11-27T13:04:02,0.051235219785179156
1764248657,2025-11-27T13:04:17,0.0514367358449446
1764248672,2025-11-27T13:04:32,0.09686130623225225
1764248687,2025-11-27T13:04:47,0.09541815605928512
1764248702,2025-11-27T13:05:02,0.09530674034421231
1764248717,2025-11-27T13:05:17,0.05162068683397764
1764248732,2025-11-27T13:05:32,0.027496787803240948
1764248747,2025-11-27T13:05:47,0.00000219815742688292
1764248762,2025-11-27T13:06:02,0.041332533394505135
1764248777,2025-11-27T13:06:17,0.09329900108690029
1764248792,2025-11-27T13:06:32,0.09252195324337974
1764248807,2025-11-27T13:06:47,0.07792447486588103
1764248822,2025-11-27T13:07:02,0.06454153775399275
1764248837,2025-11-27T13:07:17,0.03333806660696769
1764248852,2025-11-27T13:07:32,0.000001724999999996868
1764248867,2025-11-27T13:07:47,0.0000013726972506241737
1764248882,2025-11-27T13:08:02,0.05773821558447503
1764248897,2025-11-27T13:08:17,0.08121274575846726
1764248912,2025-11-27T13:08:32,0.10687154929577469
1764248927,2025-11-27T13:08:47,0.0949419347730277
1764248942,2025-11-27T13:09:02,0.06754405631440742
1764248957,2025-11-27T13:09:17,0.024913418612412537
1764248972,2025-11-27T13:09:32,0.004673267604795192
1764248987,2025-11-27T13:09:47,0.061640763837939164
1764249002,2025-11-27T13:10:02,0.08297805552118138
1764249017,2025-11-27T13:10:17,0.07359229318608583
1764249032,2025-11-27T13:10:32,0.09074825964252119
1764249047,2025-11-27T13:10:47,0.061138117735596575
1764249062,2025-11-27T13:11:02,0.038790805265628094
1764249077,2025-11-27T13:11:17,0.004856109774537544
1764249092,2025-11-27T13:11:32,0.03483294994249144
1764249107,2025-11-27T13:11:47,0.06626798583891781
1764249122,2025-11-27T13:12:02,0.05838573333333343
1764249137,2025-11-27T13:12:17,0.056913285300990976
1764249152,2025-11-27T13:12:32,0.00003944078199702171
1764249167,2025-11-27T13:12:47,0.0000526099224077122
1764249182,2025-11-27T13:13:02,0
1764249197,2025-11-27T13:13:17,0
1764249212,2025-11-27T13:13:32,0.00025676531096692517
1764249227,2025-11-27T13:13:47,0.00020735569910398
1764249242,2025-11-27T13:14:02,0.00018837314958543145
1764249257,2025-11-27T13:14:17,0.000005725195132758469
1764249272,2025-11-27T13:14:32,0.03322873267897656
1764249287,2025-11-27T13:14:47,0.06656600964184868
1764249302,2025-11-27T13:15:02,0.056062125
1764249317,2025-11-27T13:15:17,0.1010169557591113
1764249332,2025-11-27T13:15:32,0.0989705038743097
1764249347,2025-11-27T13:15:47,0.04814617143196486
1764249362,2025-11-27T13:16:02,0.036403910242168394
1764249377,2025-11-27T13:16:17,0.004962825980153405
1764249392,2025-11-27T13:16:32,0.000001456720079735586
1764249407,2025-11-27T13:16:47,0.0000018972706085620018
1764249422,2025-11-27T13:17:02,0
1764249437,2025-11-27T13:17:17,0
1764249452,2025-11-27T13:17:32,0
1764249467,2025-11-27T13:17:47,0
1764249482,2025-11-27T13:18:02,0
1764249497,2025-11-27T13:18:17,0
1764249512,2025-11-27T13:18:32,0
1764249527,2025-11-27T13:18:47,0
1764249542,2025-11-27T13:19:02,0
1764249557,2025-11-27T13:19:17,0
1764249572,2025-11-27T13:19:32,0
1764249587,2025-11-27T13:19:47,0
1764249602,2025-11-27T13:20:02,0
1764249617,2025-11-27T13:20:17,0
1764249632,2025-11-27T13:20:32,0
1764249647,2025-11-27T13:20:47,0
1764249662,2025-11-27T13:21:02,0
1764249677,2025-11-27T13:21:17,0
1764249692,2025-11-27T13:21:32,0
1764249707,2025-11-27T13:21:47,0
1764249722,2025-11-27T13:22:02,0
1764249737,2025-11-27T13:22:17,0
1764249752,2025-11-27T13:22:32,0
1764249767,2025-11-27T13:22:47,0
1764249782,2025-11-27T13:23:02,0
1764249797,2025-11-27T13:23:17,0
1764249812,2025-11-27T13:23:32,0
1764249827,2025-11-27T13:23:47,0
1764249842,2025-11-27T13:24:02,0
1764249857,2025-11-27T13:24:17,0
1764249872,2025-11-27T13:24:32,0
1764249887,2025-11-27T13:24:47,0
1764249902,2025-11-27T13:25:02,0
1764249917,2025-11-27T13:25:17,0
1764249932,2025-11-27T13:25:32,0
1764249947,2025-11-27T13:25:47,0
1764249962,2025-11-27T13:26:02,0
1764249977,2025-11-27T13:26:17,0
1764249992,2025-11-27T13:26:32,0
1764250007,2025-11-27T13:26:47,0
1764250022,2025-11-27T13:27:02,0
1764250037,2025-11-27T13:27:17,0
1764250052,2025-11-27T13:27:32,0
1764250067,2025-11-27T13:27:47,0
1764250082,2025-11-27T13:28:02,0
1764250097,2025-11-27T13:28:17,0
1764250112,2025-11-27T13:28:32,0
1764250127,2025-11-27T13:28:47,0
1764250142,2025-11-27T13:29:02,0.00007133997686159026
1764250157,2025-11-27T13:29:17,0.00004982679746167692
1764250172,2025-11-27T13:29:32,0.000043947498645050325
1764250187,2025-11-27T13:29:47,0
1764250202,2025-11-27T13:30:02,0
1764250217,2025-11-27T13:30:17,0
1764250232,2025-11-27T13:30:32,0
1764250247,2025-11-27T13:30:47,0
1764250262,2025-11-27T13:31:02,0
1764250277,2025-11-27T13:31:17,0
1764250292,2025-11-27T13:31:32,0
1764250307,2025-11-27T13:31:47,0
1764250322,2025-11-27T13:32:02,0
1764250337,2025-11-27T13:32:17,0
1764250352,2025-11-27T13:32:32,0
1764250367,2025-11-27T13:32:47,0
1764250382,2025-11-27T13:33:02,0
1764250397,2025-11-27T13:33:17,0
1764250412,2025-11-27T13:33:32,0
1764250427,2025-11-27T13:33:47,0
1764250442,2025-11-27T13:34:02,0
1764250457,2025-11-27T13:34:17,0
1764250472,2025-11-27T13:34:32,0
1764250487,2025-11-27T13:34:47,0
1764250502,2025-11-27T13:35:02,0
1764250517,2025-11-27T13:35:17,0
1764250532,2025-11-27T13:35:32,0
1764250547,2025-11-27T13:35:47,0
1764250562,2025-11-27T13:36:02,0
1764250577,2025-11-27T13:36:17,0
1764250592,2025-11-27T13:36:32,0
1764250607,2025-11-27T13:36:47,0
